feature,mean_abs_shap
time_in_hospital,0.7624947056706053
age_numeric,0.5728050020471975
num_procedures,0.5182807763394445
number_diagnoses,0.4792137116149495
number_inpatient,0.3825033358092345
total_visits_prior,0.2947949270922081
num_medications,0.10812468880012185
num_comorbidities,0.09059391331466361
num_active_medications,0.0796323547607777
number_outpatient,0.05161548984440553
a1c_ordinal,0.04558402023643533
num_lab_procedures,0.04019627159308316
emergency_admission,0.02317745580896578
has_insulin,0.02279314167736053
number_emergency,0.01897781772057827
insulin_changed,0.015723860023836387
high_utilizer,0.012803074338914068
gender_male,0.01035506753604799
medication_change_count,0.009238435945337268
on_diabetes_med,0.008545447939099176
diabetes_primary,0.004876095190596551
med_changed,0.0026425195466585794
long_stay,0.002241765762296129
glu_ordinal,0.0010340611626543322
